distance,speed,throttle,brake,gear,driver_code
2827.838333333332,157.0,0.0,True,5,VER
2834.81611111111,157.0,0.0,True,4,VER
2843.41611111111,129.0,0.0,True,3,VER
2848.8827777777765,123.0,0.0,True,3,VER
2859.2827777777766,104.0,0.0,True,3,VER
2869.3938888888874,91.0,0.0,True,3,VER
2878.3938888888874,81.0,0.0,False,3,VER
2881.860555555554,78.0,0.0,False,3,VER
2885.3041666666654,77.0,14.0,False,3,VER
2889.4152777777763,74.0,17.0,False,3,VER
2895.481944444443,78.0,26.0,False,3,VER
2902.6819444444427,81.0,32.0,False,3,VER
2906.4597222222205,85.0,40.0,False,3,VER
2914.6374999999985,92.0,51.0,False,3,VER
2920.026388888887,97.0,59.0,False,3,VER
2925.581944444443,100.0,65.0,False,3,VER
2932.951111111109,111.0,75.0,False,3,VER
2942.4399999999982,122.0,94.0,False,3,VER
2948.3511111111093,133.0,100.0,False,3,VER
2959.7066666666647,146.0,100.0,False,3,VER
2966.639999999998,156.0,100.0,False,3,VER
2977.9733333333315,170.0,100.0,False,3,VER
2985.7066666666647,174.0,100.0,False,4,VER
2995.651111111109,179.0,100.0,False,4,VER
3022.051111111109,198.0,100.0,False,4,VER
3035.717777777776,205.0,100.0,False,5,VER
3057.717777777776,220.0,100.0,False,5,VER
3072.584444444443,223.0,100.0,False,5,VER
3101.4288888888877,236.0,100.0,False,6,VER
3111.917777777776,236.0,100.0,False,6,VER
3125.2511111111094,240.0,100.0,False,6,VER
3136.1399999999985,245.0,100.0,False,6,VER
3147.117777777776,247.0,100.0,False,6,VER
3163.651111111109,248.0,100.0,False,6,VER
3186.317777777776,255.0,100.0,False,6,VER
3203.6563888888872,259.0,100.0,False,6,VER
3218.045277777776,259.0,100.0,False,6,VER
3238.4230555555537,262.0,100.0,False,6,VER
3259.189722222221,267.0,100.0,False,7,VER
3277.256388888887,271.0,100.0,False,7,VER
3289.3897222222204,273.0,100.0,False,7,VER
3307.7897222222205,276.0,100.0,False,7,VER
3326.3230555555538,278.0,100.0,False,7,VER
3354.344999999998,281.0,100.0,False,7,VER
3385.900555555554,284.0,100.0,False,7,VER
3401.789444444443,286.0,100.0,False,7,VER
